1c243b 	9bde9e
952238 	a6f452
74db64 	6a16aa
161236 	701679
318fb7 	bd9ed9
6d3242 	e92352
130c87 	f9fe3a
776d51 	3fc85c
00ccff 	17a421
a5a464 	6ba3b5
32bf3e 	6ed4dd
07dcd3 	89e792
faea0f 	297d46
7bb0f8 	abdbb4
34123b 	0c56be
d13337 	3097d3
d695dc 	433197
399253 	b43a08
0bc0b5 	df019e
2470be 	092ecb
a01fc3 	0787cf
d8a39c 	7b0466
f37993 	4915a2
906b60 	985e03
e693c2 	becad2
e42702 	5e8134
63e051 	579006
d301c6 	f23a52
d896c3 	ff4cb4
9b9ba7 	b22620
6a7540 	319bc3
518724 	d67db3
bf6cab 	8928d2
1197d4 	45a741
72b2f9 	cfd1f5
a87eb3 	5dccf5
47aa99 	6c72bf
d8f04c 	b66a5d
e0ee1e 	4978a9
0727d7 	e05b9c
d42521 	30905b
f7e214 	2a19d4
1faf71 	e9a31f
89d67b 	fb9635
c61100 	09b5b9
bdd601 	a7116d
a7cd9d 	141efb
18ddfe 	008b88
9ea40e 	3ba419
80583b 	1c33fa
394524 	d69527
96c4ae 	f2bfb3
857387 	daea9c
110619 	9777c3
a494c5 	a52f88
0fd5cc 	b45d98
71cdc2 	49005b
44f426 	fc2b62
aa8bfa 	cbf6cb
4899d0 	b86074
8f2db5 	a75ce0
274b2e 	f960cf
2359f3 	ff84fe
503d61 	726690
dd9396 	738014
65166c 	e6f273
c9dd35 	1b8d94
096c22 	e93054
00db84 	3f25bf
788a06 	66320f
8d963c 	d18083
d50875 	bf17c3
1800b8 	101429
a135c8 	7f6753
a21157 	717cbb
f12fc3 	92ff2c
e59913 	0e748c
5ff6c1 	4c7d2a
e3f2a9 	5eb4b0
181a14 	9e956e
ed50b4 	96c6f7
f42417 	6cdc87
8bc4e3 	b271fe
8d2d53 	e5f5e9
d4550f 	8a8dd7
03cb22 	59535f
4f6afc 	530e92
ee4fc4 	58452a
79891e 	c47674
3cde2a 	c3736c
a13b23 	3fc089
f2b7d6 	698615
7e1e73 	1dbb34
ec8dcf 	615d4c
dd6ce5 	e4cb2c
815d27 	e73431
0fa59e 	3b78e7
4663fa 	9f74a4
d9da28 	e38a8a
35f90e 	bc9c45
86914a 	172875
7d2cbe 	b5b5cd
4563f6 	e55703
a104ac 	25ab84
7b9f0c 	a668f4
4446cd 	e64eb4
4ca2a4 	799138
b3dbda 	988212
c22937 	6c65a6
1ec09e 	005a2c
a18977 	342ecb
2cd3a2 	908a24
eae73b 	b79ebf
6cba62 	64888e
d00fd9 	3dbb56
cda8b3 	c88c15
e5fa48 	e68c26
e11527 	4523b2
53385f 	e8733e
9fd8e2 	1bd393
9d5d70 	4c6b5e
df9112 	bcf6c3
514e44 	11a905
5278c6 	5ba823
65afc5 	54c25d
163048 	d2d98f
a2435c 	5e0443
faf7b5 	88af15
760150 	040796
105f95 	ae852b
40a0b1 	f613ef
09eb9f 	b31658
72632f 	ba7b0a
b3421d 	5688b3
a40c8f 	4111a6
abda68 	877210
12285e 	018fc8
1791cc 	dd58f3
ce9ccb 	12a863
93ef83 	29a574
0b2714 	2887c4
75eb54 	68d939
8bb3a2 	6105ca
fe54b2 	8ff41f
61cad0 	97ea3f
a99b4b 	66e814
425ffe 	a42f61
f7e9dd 	861f4e
20bb44 	f92cb8
cd5152 	68cc9b
991d4b 	1793f2
ee46bc 	eeb954
7a463d 	bd87ef
a55315 	d0bf84
9045bb 	fe0422
117228 	00f39c
fb6d93 	e19861
525074 	488f71
2cdf25 	34cc48
5b533b 	1fc047
7ac89e 	d3e76e
0f3c16 	92d000
2e083f 	20cd54
d4824e 	8c229c
6b3c0d 	976029
3b3162 	5478c5
7b3c91 	7c001c
04353a 	5d193d
43d0b3 	ebf5dc
09fdec 	b6f28f
4e92ad 	2c5935
653dd1 	af9fc7
8fde01 	a0ce9c
8fbc95 	30c6ff
08cb33 	f0fdc2
a6ac96 	057512
6ab9bf 	320808
aa4699 	ca975e
214e28 	b77fc1
5f6cf2 	d83b29
40686b 	43cc03
e06296 	870fbf
6dc90b 	275aab
9f00d5 	9da1ad
cd5099 	9bf47b
866382 	629167
58fd03 	9e01df
331b84 	cbfed0
5234df 	8ed764
afdae8 	252283
a4c0ed 	7670fe
d77fce 	434501
43cb92 	c5d6d8
3e06bf 	0c14e6
34106c 	0ff0a1
777b69 	46e4b0
62139d 	668a38
b2aaa3 	dc4bf8
557cf9 	125ba2
bc3515 	5142d5
57ba22 	02e561
7cb0d2 	a58931
1d01d1 	856b1e
8fdb9d 	80e169
ea8ecc 	babace
a9db7d 	0ab861
a3e124 	0cdec4
b9820f 	5f7db0
086753 	c7ac21
4d2065 	2847c7
ee20a7 	0c6e20
5882b2 	c426a7
205243 	268536
d00a5b 	c19892
5ee9f5 	b6c81a
3b2c93 	427888
08c9ed 	2b90d8
1f9768 	5716ce
6e6ef7 	3a9ee1
13248e 	10e399
871c9b 	10ab3e
12cb1c 	7bbd51
20e5a7 	5da2c7
00d617 	a4696d
f38ecc 	39c51a
09e05b 	9b2434
a37bd6 	5d97ba
a711a8 	e294dc
248d53 	c52ab9
6ed6aa 	15416b
6048e5 	218132
1ed49c 	9191aa
e28785 	60e492
fc9cff 	51771d
c04793 	9d3c9e
f1f288 	e0835d
7917db 	007640
419e8a 	9bf330
034c62 	f7fb0e
ea453f 	686079
37395e 	671296
fdcc47 	341075
90d990 	cc698c
bec123 	a8e570
68d01f 	e583a3
ba138c 	fb8a30
b7b93d 	e8cb1a
d6018a 	572841
18dc99 	6c9655
055920 	2bec9f
1103a7 	f9892a
25cc14 	98b8a4
f33ab0 	0fa870
d72334 	710c6a
34a560 	819671
e5dd41 	524644
920d2a 	9ccf43
8f5e3e 	457592
ed1b8f 	e1db0d
890e8c 	969324
98ea54 	f0566c
08038a 	62922f
4c4ba4 	7afc4e
80abbc 	7cb972
e7c744 	052680
9fee93 	d40f3e
17301f 	09574b
0cff75 	117c99
a89d56 	1ff295
ef5be6 	b47a4f
8449c9 	202435
e490cc 	d2a8ea
53ba6d 	8ed7b4
d2d6fc 	4c701b
f6382c 	88eb91
4cc8d7 	de5302
335062 	253ed9
9392bb 	17f8fc
84409d 	13eb4c
3c8aed 	aaf041
0323dc 	309091
ca1647 	c50460
f3c25a 	44836b
1d9944 	81409a
a8435c 	1b0b7a
fd7510 	834ce7
0f4ea4 	cd637e
7c9328 	16793d
a16d0f 	f43a2b
76ea65 	e5d2cd
adf754 	5d2a69
525db8 	cbc0b5
638803 	2d919a
b73cf9 	b8bf89
3082d6 	dedaa4
c9f204 	c32c33
a367b9 	7e1668
67cd82 	68b698
01f50f 	db0dd7
cf0051 	d38c31
9d7bd7 	d24cb3
bce7ca 	b2ff25
69c2b9 	a9472e
5f97f3 	596635
a18458 	6206ac
f6ef5d 	cb9878
c2477b 	91c8e8
f78898 	733f55
ab0373 	2ef4d6
2bcc7c 	93b36d
464f9d 	4a8395
611a74 	7994b2
e3bc9f 	a3585b
528b90 	cce199
148404 	1ceddb
6fc509 	03f702
579615 	1637fa
bbdcdd 	c0a79c
3e5fd5 	4462b7
37b27c 	aa9aae
176eb9 	a36d0f
2dfe6d 	c80680
d23a5e 	d9e234
04140f 	451ea0
211508 	fb2946
0b0388 	569db0
7c70f5 	5764f8
f7c7a8 	c84c05
eac393 	47030d
556195 	e3dda2
e0b24d 	8fad34
2664cc 	8a0228
f10976 	8760da
ddcd23 	1596ae
e25c2e 	114149
f6c167 	416b8b
bb4bc6 	f6a6c0
a7fc4e 	76b683
e7bf61 	7ed2ee
5fc6df 	863576
0c1321 	1e6e37
e440e2 	a99e0c
3f6787 	212050
4421e7 	8363ec
8aabba 	fa2ac0
c94800 	20c1df
7c3afc 	4d81f4
4fcb55 	a25418
3fee31 	ccc898
3eb03c 	499e91
c59699 	a6175e
1aa4b8 	56a056
d1a234 	b3c4aa
575445 	da49b3
04f9fd 	12b407
ef67de 	a48212
c47cf3 	3e594e
9948fb 	efcb3a
f5b079 	ef8241
396314 	8ea022
f42f78 	691e76
acd166 	cb08ae
c73176 	8883cb
322a54 	5821d2
a8f79a 	7af679
d824b4 	219cb1
b7081d 	df63fa
cda17c 	2343bd
459199 	4343b6
251219 	96f385
8faf0a 	4dab9e
0ad92d 	41572c
ad39f3 	f12298
5f5224 	c486b3
49ff23 	537371
71487c 	d5d16b
35a99f 	fc757d
2a7b82 	c9b132
57d3bb 	4d2ea5
9193c1 	cfd754
82eb82 	9e5af5
768d43 	cd2e0b
69e1a7 	f18e0b
425f40 	4099d6
f31012 	8cfc81
dc240d 	d0a8a0
2b5cbe 	34d109
0334fd 	069dd1
7a3c87 	7fe003
a09344 	835174
c1535a 	1d3e41
1ac897 	0277ae
d586e3 	b1ccf1
9ec112 	936dcb
5f4e68 	e37632
0d7958 	f5c3d3
b8a467 	ab2ea6
d7cb17 	991bad
58aa40 	0f6e8d
2f5f4c 	e0d398
25bec7 	4bc4f0
30b124 	ea69f4
42abf6 	6b664d
1a0fdb 	16fa36
1dd674 	2192cb
86fbe1 	4d3700
1bd3ce 	249a7e
7a89db 	e10fd4
f39a85 	a0f10b
614d71 	fb821a
fd230d 	01f7b4
4bda49 	f36210
9ec753 	d70632
98ff04 	3af5ad
905fc0 	a046b0
2a69e5 	910791
8dc6de 	22d6ce
4b2b6d 	cbac7b
a35d20 	6e6036
1432fb 	dc0f43
d32278 	2084aa
8a4df6 	a6753b
be3a9f 	d47efd
4e9c00 	43b478
8d6d9f 	a9d94c
481d5f 	3e123b
740f4e 	f71431
595a1e 	b175f8
d3d8af 	a5fffc
77a928 	400da6
4db292 	ac64e7
bf8846 	761de6
d5712e 	5471a4
c027ce 	c8a3bf
f0201d 	222476
d07cb5 	90a24e
63f8ca 	39e0a0
765f3a 	b4103a
5d2a73 	3fbe8d
4c7902 	bc5932
213c79 	d2befe
fd9ae1 	36f1ab
91189f 	b2e7b9
b9fe99 	266863
4abae6 	dd3a30
1342ba 	256bfa
0755fd 	7971ae
5147ef 	53b11f
08f95d 	21fe57
88af6f 	68d049
c99c87 	8618c4
3f5732 	53748c
fe5ada 	db9957
eee45d 	3ad45e
2f344b 	d23380
b4fa55 	81731b
10b82c 	11e4d7
81a03c 	14f4a0
8fdc29 	26db92
009e63 	3ed76e
ee9206 	70e674
c80248 	62e24d
ddfd78 	05449b
bb8154 	bfa471
80398a 	203bf7
a1f880 	f95570
2c0cca 	4d6792
6faa17 	ee1b98
c2110d 	415f1e
edd324 	fc44df
c7a57d 	68f914
ae1bf9 	2ddb7b
726101 	06cb16
dc076b 	022332
89e87b 	ba79ed
2c8c48 	329c1e
4ab067 	5f3357
e8e0a2 	6bd1af
6ead55 	cd7d2f
db2a7c 	664e91
65b964 	87a29d
af0a70 	fb78b9
7cf34d 	0f9f35
7f9e5a 	46e663
a494a3 	205b78
1febfe 	18b746
ccdebb 	214441
587045 	43e19e
dd9fac 	25a244
198d4d 	afc215
c7cd77 	bc4a56
b9c8b2 	03b1ae
119ac4 	9b0427
057121 	d65f8f
c78952 	73b851
99f355 	e9d87f
58d13c 	b8f4a3
e38563 	ef1dd0
71f8d8 	bac72d
a8dfad 	caa60f
7f1239 	dbe732
6ae9a5 	b04d58
f4b21f 	5b221e
937aab 	84a4d0
83ed1e 	1ab994
3a9ae5 	9b3279
601d06 	c2f5f9
c085c9 	182f21
2b73ab 	cbea2d
8cfaa5 	d94d52
ee043b 	750ebe
b88b22 	e09bfa
398ab6 	2ead83
b99e56 	69199c
8d0f48 	62a944
09679e 	80a895
0e1ebe 	fa3c1a
be13d8 	cb1785
370756 	0d370b
bfd8c6 	8491e1
360d90 	f0da4b
ed4410 	9c178e
388d53 	0c4604
5f7d60 	668648
703d2e 	878e99
4aa5c1 	3f1836
f4fd99 	e76cf6
1d1c57 	2f5eee
363489 	7767c2
c490cd 	e5aa34
9189ed 	369c64
c2c3c7 	855ab8
5f95e6 	a69b82
574dde 	7f46e9
e598fc 	ed87a0
dbcaa0 	49aff4
47853e 	01f015
7f369c 	066f02
2cdd79 	667fdb
34f7d2 	aabb47
32558f 	d115df
27e4ef 	e468e3
5094d7 	e0954f
3bdec2 	d4cb37
610c14 	c73cf3
3e6ec9 	e74efc
85d965 	807b34
91a7af 	8b9974
46ca49 	27ac8b
75ed57 	9276d1
3f1c1e 	1885e0
4606ff 	079092
4c7ceb 	de197d
60dd41 	3c667a
a07c9d 	93c374
e6184b 	fdf963
e5052a 	4cb73b
8662f8 	5cb1e3
5ef32a 	2653c6
651d82 	acc682
af8b61 	56a91b
75303f 	55dbbc
65702a 	0e1766
3249fc 	44653e
effee3 	41059f
8bf879 	4c3a72
d14f18 	6ee1fa
188e32 	9b4ea3
718636 	e7a69e
9dfbb9 	b3214d
f53399 	e88852
26796e 	5750ef
4f413a 	50ecf2
4ad614 	5dcd50
b7f29a 	190694
28aded 	9e777a
c8d770 	ea11a5
55264a 	9908dc
704cc7 	6e1a83
b32521 	488baa
5e3eee 	b54f93
acc013 	44f290
469eeb 	5a81ee
5cb281 	06ebd1
9867ff 	4e99b2
8c14cb 	9f5af1
a95209 	b8f235
b88bce 	9f1ff6
becacf 	ea0233
930027 	f0a867
bd7621 	c5f68a
66f5b9 	f005fb
1e0ed6 	96d918
7c5cfd 	744126
54def5 	a655db
adf78c 	b6c65b
7e7a6f 	6bebef
ed8839 	d85377
991509 	de7b1e
992561 	5f8831
dbe735 	642c8e
81469f 	225deb
02d22e 	4e6ded
88020b 	a73f1c
b465a5 	5d2e04
f52af7 	2a8fc3
839b50 	15e734
b234d6 	968f49
be6f24 	6d3778
1024d2 	3e0021
8e291a 	0cd6c4
a6d9c5 	942507
8d92ca 	9ffdba
8f2e03 	047533
4816a5 	c8f9a3
7222aa 	d4e19e
d9179f 	c8640b
637674 	a182f2
5e7cb0 	62e8d1
972bee 	58e615
72bd25 	5479b4
f6470a 	3f5f06
df820a 	fa1d00
28cf2f 	bae122
b14ff6 	ee3046
ab5357 	8e6488
420d0d 	acca47
bcc95c 	1850d6
eb9f7e 	4742fb
d75cfe 	d24adc
edac86 	41d659
e2fd4e 	2d0be5
bdad7d 	84cadd
14e9b4 	c92962
c19830 	ffc730
c90049 	cebe03
b4926d 	9a1e42
5b3474 	356aaf
6528cf 	4fc470
187fc2 	752263
e5db1b 	9c8649
b1364a 	744372
7fb098 	21e64a
82b729 	4507ce
6bfb2c 	8b02d1
fb5ba1 	37316f
3c99c9 	774a2a
e3de1a 	14089c
c317c7 	9e2c53
5b7e8b 	f736e2
e4210b 	945ca3
24a7f8 	4b24b2
56ba05 	ffb98e
fac243 	2fa500
4816f9 	a149f7
6f51ee 	0c9da6
132c79 	d246aa
f92a3e 	ddeffc
7fb60b 	f60960
8025d9 	b2ea30
05401d 	128aa4
e2df55 	96363c
33a3ec 	13b15d
8c1439 	57511c
1ec01d 	1d9769
f1b1bd 	88eac6
306baa 	5c1303
f0a4f3 	3d7ec7
752655 	cc25f2
fbe0bd 	502de6
0578fd 	7d783c
f9b6c2 	f32b28
4a3a4d 	3fce95
e1f42b 	d1376f
5a5582 	aef00c
0b05cc 	561d06
a0c334 	592b31
19464c 	0e3675
84a375 	d44fac
a85a28 	244d15
b907b3 	caaa73
243365 	6ec2cb
4a3844 	143d94
8aff33 	f251b1
8666bd 	074721
4ed2e3 	086322
43aaf5 	afe764
5d4657 	64621b
0080aa 	3c7fb9
ae0def 	7725eb
c9cb18 	6c35b5
fe224e 	9b62a2
aa4427 	4aa614
03e739 	f4bf4d
831e5c 	d9e47f
6dfb80 	ff99dc
7d3f87 	2dd069
350010 	0b7b15
753dba 	2aa6f8
cf2206 	f4a608
c4efea 	2bf325
697141 	137a0d
1e441f 	fcfe67
4b36b5 	c76889
f52b30 	2a2803
dfe4e7 	5da4d5
81a746 	6a6484
e0878d 	828444
28132b 	194a3c
688a25 	6644a1
c4f6fc 	1b7044
27eb59 	0f04df
28792b 	69ddaf
b755ee 	6175da
c9c688 	efbacd
33f333 	fcc4c3
628a55 	6a4372
aa2504 	1634fe
7d0942 	18597b
d2385c 	fc5dfb
9abcfa 	03ccb6
975293 	985194
1db4bd 	05f966
eb4d66 	3338c5
edbf2b 	ed3901
dcb8c5 	f8b90b
c321de 	5f600b
e623c3 	a0112e
85625c 	0d752b
20d401 	37a843
77bb34 	6e5c6a
dcabd2 	e4cb6c
93eef3 	375f5e
475339 	d8b54a
062f7f 	a93b28
18e7a7 	9afe28
747dd5 	7cff74
5d45d4 	8048a1
6c58d8 	72281e
caf509 	710d70
b374c3 	3ec81b
83cf19 	843367
25544a 	81650b
ea9f03 	99837f
942510 	fd08da
9a6bb4 	ef1571
474591 	9d5122
860a62 	b74b79
fe97dc 	90a340
227166 	defa36
7a1b66 	0088c9
aba61f 	ed413d
292355 	14ce29
2b8e91 	da8d8c
3e5d53 	b65e44
1c47c8 	d6665a
9a32a1 	4e736a
f151fe 	ab6f3b
819a69 	fe192c
200f62 	e03756
0b65ac 	b4ed6d
656254 	d6a7e4
7355e3 	1df40c
e5ce22 	f96056
95c9c0 	aae5da
b1b7db 	47bee7
1096b9 	a8fb28
f855fd 	04219d
c715e2 	e66187
5749b9 	a6b762
1425f9 	ff6bee
581a39 	f178f4
374beb 	591e8b
df87b9 	3f975d
9a8349 	de1b73
b9783e 	d2978f
286735 	c1d674
c3215d 	b30a8e
a18150 	ef69fe
a5d5b7 	5d3cbe
a33cb5 	7718e8
015c18 	307309
b5f872 	2cdcd5
cee713 	1af674
ce3be4 	c00bf3
256e7b 	c7d87f
bdc798 	f0c7bf
6caaad 	1ebc24
e3d222 	a34656
5f9f63 	090bdb
622da8 	a212c3
1d0b89 	458ffb
0107d7 	be4f01
a286fd 	5ef368
014b93 	cb94a2
8393bd 	592e15
43c1b2 	c4d582
7e8878 	1fc877
a1cc66 	2d5a35
5d8f3b 	041d27
c53ee7 	57f9ee
f89197 	dfcd12
972719 	c09a9e
4298c7 	d3f9d1
b33b10 	c3d9d9
42000f 	e608be
e98acb 	873afc
566f59 	c4aee9
7f5ad7 	7b8fcf
969591 	6c34c4
b95145 	207ab8
0fcd8c 	c87fea
1138c5 	524837
e10d09 	27fe77
32f840 	95682d
a94b0a 	60c936
49575a 	1bb352
619a53 	c23b4c
2daf4c 	34d398
9426bd 	ecd0e6
325c72 	8fd194
815ec0 	970c7b
491ce0 	e2a969
b98386 	380f4f
087210 	dfa15e
cd22a0 	e012e7
5882c5 	dd248f
bb7adc 	90dc75
ade135 	765b41
97ad85 	cf66a7
0939b8 	b3397b
17f6f0 	dd942a
a43fcd 	255d75
77358a 	08abe3
f8196b 	99fdcb
770805 	78f249
9fcb0a 	a5619e
50de13 	b6cd33
0a8026 	0f1ee9
e9f8b5 	5fca1e
a35b82 	02fac5
97b899 	6fb04e
2208a8 	e46d81
286b94 	e79140
537fb5 	9d15f9
acb29c 	fb492b
fb5363 	56da66
ab7dd7 	28d4ee
70ae3c 	d5b626
aaedb9 	fa54c5
11431d 	d5c1e2
a1d2df 	df9c07
31d146 	280792
898086 	b2110f
4f7083 	dc5f9b
5cfec7 	ca16be
7fd7dd 	d10469
8c0405 	c9904a
e5d6e0 	9ce5fd
594f8f 	0ec3fd
e9a0e4 	693d95
2748c9 	8dfc02
007e52 	f103bb
1e33f0 	e66dce
f1b8f2 	107746
ca73bf 	2d09b0
bb6857 	c76631
cf793a 	8ff6db
cd33ba 	ac9eac
c70c45 	90d34a
83ac55 	903a11
d304ca 	c44b0f
d9914b 	3c501d
1bab63 	c393fd
af7bd3 	cd3cba
fb1384 	1101d9
b587d1 	193daf
0642d8 	a916bf
3c56c8 	a7bed7
75041a 	010a89
b3b309 	e50c1a
e19e82 	ad47ff
23c2bc 	598041
109931 	e0c301
a1280a 	cf9cfb
0adbe0 	008f06
366f39 	69b164
11ecc6 	e92bfd
cf9337 	00cbdd
877007 	02be62
c63e72 	c31204
12c3ce 	8204f0
1371ed 	09d283
93c2e4 	86e04c
1c825b 	87fcef
61e8f8 	120de3
daca0e 	094093
dc67dd 	f059b1
0d253e 	8a3746
d53d93 	ac5871
d61151 	5a16e2
50a071 	daecaf
003763 	de676b
7ee592 	786927
4ef49c 	9041a7
66f409 	990b0b
3ccaba 	de5337
7b7243 	61c274
8edad8 	2e319f
3490ac 	21761d
06ff91 	3a2953
5710e9 	e3b27c
96cf38 	b000ea
d8647c 	0bd2fc
bad9f8 	c199b5
aa550a 	7e313e
5aaccf 	476fef
6db886 	ba94eb
643d14 	874c93
4f0d43 	dc561b
0e3713 	f3af04
29f388 	edbc0a
851499 	bea356
83bddd 	80450f
e828b3 	d72bd5
6cc60c 	e1c397
05c268 	437ebc
bd4412 	22eebc
4b87f8 	258569
d9fe3e 	512dac
8adf31 	9bd2fe
5cba7c 	ea385d
8a4873 	ce1ecb
c3a1fc 	add83c
87673f 	0b1e6f
72c644 	3fbe9c
a93f6b 	69ad0f
e10f38 	a511f0
f2163a 	5ad7c1
7abf4c 	d4d327
8edf86 	1b914b
5b90e5 	012708
301257 	5ebe20
c6fee3 	c22fbe
1adcce 	5cafd5
19d5c4 	e108be
9d387d 	4d7582
0c101d 	61e676
11c895 	41842e
ad610b 	7d1f27
2bde8e 	f4d189
4a95c1 	a27193
74dbc2 	3943bb
23aca5 	ffd782
7f892a 	51b3ab
1bfad2 	5d44c8
965a34 	3c9548
290807 	bcd589
426dcc 	06dc9c
d590fa 	0114d3
f7cabf 	72a71f
4b6275 	6f6a32
5357c0 	5f95b3
861b71 	5a4e30
b689a9 	549ac9
b859eb 	775bf1
f01c25 	bcbb3c
132a2a 	386502
b46df8 	c20170
c64fc0 	735555
ac4cbd 	d376e1
b2127e 	5a564a
2d186e 	080d97
e774c4 	f60418
3d6eab 	76f2a9
e8aa46 	8e1626
c2fbed 	893985
ceef1d 	7765b8
b8f5b0 	7f51fa
6dfb52 	d0e347
86bcee 	b4c80e
23c73e 	4342cb
c03f0d 	6b783c
db398e 	2f8093
1d8d09 	5f4d2e
688aa6 	e77767
aadb14 	5f2f21
df7fde 	fb1bff
8ba18b 	ae5919
bafb69 	8b4b9d
89fd18 	83e35b
36e2ba 	ea84c1
0cc63f 	0aed57
f08b05 	264624
9d1b16 	dcab37
d867c1 	5fd824
87354b 	662ea1
671845 	10b2eb
a36420 	9dc969
413b5f 	04e903
d42207 	b5c069
ad8b74 	c04248
c328ab 	d49d4c
752c92 	41d426
6805f4 	605ad7
992eee 	5b8dca
413e11 	6bc896
d06228 	c23990
e470a9 	06feef
ce4101 	b8b476
6aa099 	954533
9ac0a2 	5bd34d
19fa16 	08807d
a600a3 	fb00a9
e8ec1c 	5bc40d
374a6e 	4dce8d
2c6cf7 	429ccb
3e01c1 	22022d
ac98b8 	12cfaa
516084 	d5ccf8
a303a9 	953921
7da35c 	4ee487
7dfecc 	5cda11
70bb90 	6582b5
9c4ea1 	e9b1ea
f8ed66 	c89e2c
21e596 	a8d68c
855157 	b8665b
4c689c 	098fab
e11e2b 	efc850
f0d828 	2e41ff
441054 	4064f8
88eff8 	f35f12
cb58ef 	54ea41
53fba2 	02d477
20aedd 	e497bd
758f4b 	25db63
4b8dd2 	89b502
6ea5fb 	fa181f
9d1557 	3d9657
84de3d 	a36e9a
e37d7f 	70f2e6
184502 	23ffae
eaaef8 	6df0b9
bbe2b5 	af8be3
4dd297 	c78bfa
830319 	c4a06b
57717d 	5e3126
119b4c 	c2bc07
6cab90 	b8a3d3
de4f3d 	0339aa
81b22f 	4facde
41eed2 	2dc1bb
e16222 	fbdd8a
2c5582 	863e35
41229e 	de62c1
d8383d 	320920
fc8a8e 	8dc733
45deb7 	c717f9
4d98b1 	a0fd97
cb5b6b 	192a2e
323c60 	e8a554
95e124 	1adc4c
55e63b 	c809c6
e904c0 	ff5186
79b3ba 	1cea6e
587219 	a08676
b99d94 	aead52
a4cbf6 	595b56
f39ef7 	982bda
aea910 	9fd850
503bd0 	b76dc1
44c877 	e294f0
5fec9c 	06153b
825823 	0833f8
7857fb 	5ea830
db13fb 	e47175
9da3ba 	0c6d37
5c8bb1 	cfe33c
5b13e0 	f4110e
380cc9 	40707c
4488e6 	d7a120
2f688d 	cf0dff
2782ac 	39f021
0b1fc1 	7d77b0
fc7161 	1af9f2
2a16c0 	6b1459
8dae02 	58f488
7e82dd 	61edb6
a7f49a 	afa25b
9a10d8 	2f2bda
31c10b 	58eca7
6f29ba 	971274
cd7fff 	534286
fdac41 	bb7375
a855cf 	4188c6
e22a5f 	f3a8ae
05dd82 	50170b
9ba294 	45fbbd
aab812 	41dbbb
374525 	0bf298
ba8285 	8770b8
b4a5b3 	522761
e1a2e3 	155f4e
e8a3cc 	0eaf3e
0e66b3 	1e3c61
959620 	9857df
d0be6c 	ac6f2a
65219e 	ba7645
77f420 	d2e4b8
7b5167 	1f0b87
30c5be 	855161
f9ef1e 	fca07f
7a69b4 	2c6949
8f4459 	be78b3
d3b5af 	6eca5b
a54804 	1321c1
9ecfde 	e82f2c
1379fb 	26a5b5
5d592b 	e309fb
1f1450 	8f4825
c9a56a 	a50fde
522dea 	633ad9
88bb20 	86e4df
37cb9b 	693ac0
6a4208 	99831d
7a8852 	3f76c9
b8afb1 	403572
16df70 	cfeb61
f6eae0 	c62834
0b1165 	f4b130
e5ba2b 	28ce59
d21a4a 	e28e54
b4148f 	79f3fa
cbd0f6 	f67fe4
7728df 	149758
9eb8a3 	3309b5
def4a5 	99a94a
c6547a 	e81931
4d5fd5 	ac6371
7c8a4f 	2b5e55
44f0d9 	e76c78
cce5db 	65d759
49f1c4 	502db2
637a34 	6686f1
2c7245 	b7e9d6
9949ed 	749076
660ec5 	bf01de
dba941 	45ce9e
632291 	543d44
b6f487 	0ab5f6
ff8af5 	280e24
274689 	8ffc02
773f76 	f4a53c
d6d821 	373587
c6f00a 	87b643
7232b1 	405b81
a1ff94 	a0aaf7
218d58 	9781dc
f2d457 	caec9e
86052a 	b4f5b9
61fc1f 	52f511
35f316 	06243c
70ec69 	970fc2
43bdce 	6c0a15
5c853c 	7c3734
e33dc8 	d880a3
de48ab 	706f44
2c0393 	4e0e9c
178590 	b9558e
6c4256 	e7c47e
2bc7e5 	7abf40
62de0d 	035e76
87273e 	ae47fd
f6b700 	e0978e
9e8d5b 	88a6e8
48239d 	7d33e2
8fa170 	9333c6
aae714 	01cd40
bc9104 	9ffc0e
011f52 	f0d08b
6e3592 	00bb9e
427818 	f0bf93
ab8952 	a3b858
ad5d38 	572e21
82ed58 	203f56
1ebcd6 	06dd7b
d30fe7 	3c4961
42bf2b 	98cbfb
408045 	024341
be5a7f 	23470d
5914fc 	fa36cb
a189b2 	4e6d1f
b672c9 	fa7a3f
a2af68 	3a18cf
2890ee 	11bd55
c3a350 	b90bec
8c9027 	bdac98
fc8a92 	aa1154
56e8d6 	f0d716
156a58 	a931e9
5e8e15 	550850
46b43c 	48ae58
f8e659 	cad41c
5a8f25 	d350b7
13451a 	ebf640
4be424 	e1529d
b85844 	3aabfa
68e2cc 	8bcc2b
7e4a41 	7848ba
bc9256 	d45b59
b76261 	c043f3
653d1e 	47d707
4ac762 	5973af
84c272 	743065
1c432b 	329d4c
00b37b 	82b23b
d5b477 	8d99e0
5ffeae 	9269d5
4852b7 	897d1d
2f737e 	347910
1b3a66 	b928c5
198463 	c39f56
4f0a2e 	88651a
acfca3 	d9015c
f54b31 	b6d914
ba799d 	60ffb6
453d11 	9d99fc
9b297f 	09769d
33bba2 	a7b86b
ee7761 	0c8d72
3c25af 	d1ea48
09f3c2 	68bc47
0bf997 	a362c2
a2ebd3 	589667
dabfe8 	bf5355
0e2b2f 	eb25db
631d8e 	a054c3
bf99d8 	589f8c
4166c0 	d62799
a88746 	1bb114
4f36aa 	dcbe57
82b614 	cbb116
812fd1 	7a815f
eec3ff 	4d0d57
58fc83 	9c53d5
