4f280e c8b33b
f9c412 970c8f
31c522 466021
1895d0 988fef
dcbba0 ebdbda
724956 6712de
e9dd5b 5811a9
bdf088 6fe7ef
86bdc0 f658b5
450670 1bb1b1
378568 15c690
f1da48 350883
4eee1e 2e2bec
ac6509 bf6e57
cf9f53 79514e
acbac5 4469a3
16c54b 65efff
cb2f09 32233d
014603 10a332
bdf79a 95a3a9
dfc543 66c71c
ff348d 960691
f1eeb7 3778a6
b1f040 6bd4b8
534373 e5021e
7f05d4 6f0724
01fc3a 6d1de9
add1e7 8168af
475fe2 8894b7
a6b524 d4ed42
bf37af c1ac17
918879 b17f40
b64234 56259e
afe3ee f0db2f
6edcc3 aecd46
2eae09 392bdb
139a8e 52814e
f34269 cf7552
46f696 679671
59fd8f 2ae76d
053360 fde0a8
923c02 3ab115
1462d5 fe0ad0
97e1d5 3a65cb
e84bb3 4b4b17
0f3754 db7850
36cc5f 497be5
7b0203 5915e5
10a4e7 e9638e
67eeb8 40d5d8
64e4ad c61a4f
981481 0e825a
fae1ae cb9fe0
16afe9 d424db
eb2fb4 b4a957
374b42 b35992
6a5cbe bf0949
6c6db2 14fad7
1df237 a6bde9
2db1d0 b489ae
b60291 c78ab8
d7cc62 ec3b2a
c1fec3 5b6f0b
06f71b 7c12ac
1b634a e5d669
080a5b 7c047e
9e58b1 f1efe0
e4d15a 61b7a4
558fe7 e0e3f9
52a499 f6897a
ddabdb ce7732
44cf34 7128f0
4fc93b 6ea01c
129130 3fdb41
9817f6 4d68e3
be903b c7a372
a62e9f 7f15cb
409b8b cd5629
8288ab 98d05b
680d3e 8148e5
f28d91 26e753
c38e11 dee9c7
dc9b9c 60f629
4d9bfb 6eaff3
fc0068 872284
9a518c e2efec
a57b1d 7c28e1
9d4f06 f42326
1b6652 f547ef
7cd356 133004
005e67 20e7d5
0805cc eb8256
067366 d58e5a
428fbf 60c273
8facb1 47241a
0ffdef 1768ab
444620 8bbf91
b7337c 957cd1
4c01cf 2f8446
58d334 5ece56
ec780d 2a0aa4
3f2b55 313e0e
7848d9 687d88
1ba5f7 1f0423
e28c4e 39d773
8249cb fbd352
ca60ce 08b09e
c756dc 18f537
5bb83a a6c81f
72b8c8 b98376
f8b948 563612
6d6e19 696aec
c4ba2e e8decd
3d481c a93901
62935e f5bd45
824f25 47682b
fe7dbb c66b1e
8ea4cd a26173
bcefee e39374
45fc48 363538
dc97aa 24dee9
1ada0a 91dc06
70cb99 00e77a
a0c8f5 ed029d
7004d7 7e6384
cf503b dba494
871076 9bc294
e9e61d 5a4ab2
174271 51e552
16999b cd9866
98bf59 95615a
4fe08f 438baf
3b5d3c 0331d4
cb1d0f 8ff8ea
191599 048c69
cb674d a9328c
8f8bb1 f322d7
842016 e574e1
e66314 73508d
759bb6 b4ebfa
9cb374 a4ac52
d4fc7c 40d2fa
6385d9 a3c690
fe58cb 9de4f6
3d6361 d80e42
dd4849 fec15c
bcef04 c49ab4
8037e5 f367ae
e8898a 48e4dc
4a873c 43149b
1a5111 5fe16c
af48ea 98d4da
e59698 8a9c70
4d6982 eeb3ec
bf8174 4daabb
7443a4 487bbd
04006c 03448a
81d01b f86843
f6c809 89b33f
c1a766 150d81
a56e48 374c82
fdff5b c196f8
25a4a3 24c405
51ce01 056b27
4dc63e cb5fa8
0cf2ef 16c2db
c2887d 1463b9
54c8ba 6ca279
1a61c3 752463
f2f33e 8b70a0
4f385a 95bc3b
8aed7d c0c542
de4f06 19faa3
8540c2 f35214
3c2c15 3aae21
5fc049 ea2db2
1640f0 01ed52
c53dcb d7dde7
11e41c 18fa14
febefb c66a31
77c478 685f77
4ede80 41c886
ed22f8 f71764
e4fc70 61c9fa
01a007 0c1db2
ede75d fa4877
673027 ca8348
58f544 5c36b9
a198b4 6ec979
ceda4b afb8be
e1a0a8 ad5b9c
eb5aac 6983b2
b428a2 213fe7
48d1fb 4e613f
c2ff6a dad382
f69778 3d7866
b61c17 86a13a
9da03c f713c5
e9b129 582ef4
76746c 8f40cd
6a6ebe 81446b
a959a0 f252bd
ca6d99 d3c75e
33bf7e 442b61
5bf5c6 a1f6a2
98509b 9e7f2c
25657f 18c420
647991 6ee87f
6d831c a83000
f955b3 9fe648
7cd7be e14f44
cc702f 59a37e
5bbec5 467a1f
e2bb09 392a95
3bd393 bbbd16
9c00b1 8327ff
92e262 093555
5057de a368f1
14b146 02432b
dcef56 d6dc28
5e00a3 ba9a2f
8f7554 a64680
7c9fb7 4d4ff8
5ab940 f612c2
b8c7a2 47a39d
d7f36a c4dcde
88cc48 6e351d
21d4c3 752b78
e77ec3 6621b0
86a436 5fcd1d
02a049 211eb3
54f568 11e6b9
e30752 d143c6
31797a a4a521
09ac55 513ad4
1434e7 50e0cf
ee66ef f9150d
7e35ad 4d5036
f733ba 35ba10
a16016 c0d3c2
985553 c6106c
077b8c eb42f3
bb5183 f92041
af58bf 04625c
1d57e6 9388fb
678bdf 9ed688
731f9f cf106a
57b205 c998a1
58e00f f50861
83cf80 061405
28f1e3 def8b0
606cfb 993010
86a416 e4455d
7e04ad c7ba78
1c8b9a 062632
15628a 64e789
998985 2273c0
cf4569 154fe2
680e4b 7557e5
b5ace8 9dce77
883f62 e090e1
e9696c d18b15
f9346a 4f93ae
69308c f3e7ee
c10717 483375
5236b4 5f6e71
8d1edd f82d2f
1b0eb8 0735c6
dd7fd0 7164b4
6af69f fb90a0
3cc92a b44679
5f8d0a ccb817
22c6c2 470624
67da15 20317f
709f35 ff430c
180892 054246
c4cdb8 1ad77a
c920ea dd7644
e75fb7 37526a
6f1877 7b739c
12e055 e8fe82
7d4ccb 9fb237
66edce c96e20
ffc4f8 2c5f6a
f0c32b 70d09b
7424c9 391159
7ecf77 570ec4
128f96 ccd25d
348798 300145
2b8378 ab3d51
33284f 298147
b75c50 6cb52a
58c3be 837f39
326e25 811522
2b5c87 d2f06a
39ea85 e8cc14
0d029b 5a7a89
6b353b a49cc8
79b3a4 487d2e
269f22 fc9826
290602 314836
a40a54 36447e
281625 b1a1de
ddf139 8ad6ef
059c6f 7ca633
ad61aa a6d42c
9663be 0a4f22
16fa3a 34a3a0
3d896c abfb1d
700886 024064
8b96ed c55607
2023a3 98c567
337095 8261b9
7fc7ff 2ef7b7
1911e1 1efe2f
7a6c77 b64512
745f69 1423b6
97e267 387cad
1784da 611c08
fe75cd 42670d
304004 a60d8e
e27d76 79db9a
997a5c 2c3de8
689fbc a33fc3
82ffc4 a4f2a0
e9a78b 15e0f2
9ce674 5ca1ae
6bea5e a1a5c3
7dc4ca 8480d9
262708 3633d8
e60349 fdbd78
6e3dde ab65ec
72b62a 271836
a060d9 428e4e
52ae9c a039b0
297dc5 32fde7
197a63 1ccde8
9c75be 802d65
963435 b34b82
b009d8 327284
496b5c 960109
6ab46c a3ec20
92808b ae57c0
798c38 8c55d3
bb1e65 f127d4
9f96f4 5d1bd0
bf51fd 86fddc
48f8c0 41e353
8c3bf0 a32728
86ef3e 46b335
07a5cb 7f2423
554ab0 41e154
fb5241 2dd7c5
6fdedd 15fd06
78840e 30ed05
5bec75 f10aed
b3a32a d8d00d
a155cc 22e247
af8f57 e4fc17
a7c1f2 7e65c1
c9c268 49cb99
438858 fccb7b
623af0 f5c5e0
133d22 e8380e
76ac44 de0bfa
596f38 2adfb5
0b9cb1 fe5fce
b4c098 ee9f30
38b549 89a962
c5a455 50ff77
e12f41 a8838a
e880ce 087c72
0364d3 4f26e9
95c413 db2ba1
15b992 0024ee
d8e5a6 9f8d61
e50564 64b6b1
e8cc14 b42473
2c555f 173060
d062ef 11bb10
4fac08 6f811a
9e50cd a20c49
b93ed8 beff1f
36093d ae9cd8
9a00c2 237ce9
74e551 7986a7
989af4 c6ce2f
46459e 012d5e
990fc4 54f86c
f8eca2 e09a4f
b36789 b2c6f8
cdde8e 09d58b
5979f5 46e2a1
a6ea8d 020142
171e03 cd1766
f33585 ea7cc8
a7b3d1 3589df
1ee48c 47ffd5
a00be9 85f27e
6c843b d8f572
e7d94c fff604
ea53ef aca62c
b2875b 1462b0
375f64 5bc6c5
4d2dbc 0c450a
faa9e0 e15e93
ca6f44 daa6de
b85d3b 9ba1c2
41b7f5 ebe334
fde6d2 9422f7
670636 568fa5
cd5f4a 14838e
4195b2 7c9c73
536752 f7748c
92b38c 3bfa2c
5f4584 baac5a
5ccacc 8bfdc0
d895bf 42922d
786041 8ce3c8
3087b0 29e154
d3fc34 4e2592
06b84a d47c2c
e1df76 d88b69
c5e932 7cfd77
f9d720 efb858
e05733 ae34ac
a4fca5 fd1a5d
84e684 5ead5f
6ff219 a9659a
22044a 908c0c
781180 ab226b
2ca020 33b288
64eafc 0cd8ae
42adae ff9633
caa2ae b0493a
7594d1 b7417a
8ad428 1151be
0bcb83 7e2ad4
cc8af0 d3be01
03e04b 9f23e9
ba352a 5f9002
30add2 282dc7
527cde a2ce4d
e72509 8a2c51
28a638 d338d1
c3fe6f af6a3c
d15b2b 4c48c8
19637c 2b3015
58f43d e67a1d
c95ddd 16b47d
54c0e4 84709d
76f668 59ef31
8205bf a27cc3
b02044 dcfe99
4df665 c9b7ef
29f525 312678
481afe e2446b
e4cbf6 37c07a
059083 7d1d00
b559ab 4c42bd
011505 c99229
1b3db7 a702d7
2be0c5 38c038
19204e f0828a
616e90 1cb120
859a2a 1d7ef9
a639e7 fce3c2
af4258 f06d1a
6dbb54 db7e28
8c4582 802017
94af06 d028c7
975488 d98254
00d888 4d8406
ebe596 ac5029
4a7d65 e0ac92
046778 3f1dbb
a834fe f2bf59
cce70f 8e385f
39106e eb94ed
a1169e 976c4b
c70101 1960e4
574272 9e0d3c
43c3f8 033adc
d449f7 55f3d1
4e19db c29db3
024320 c9ed63
bbab59 29d5fc
1bce16 779b1c
f08d86 19fbc5
030e32 866ac6
221079 839dba
7ee5ec 2feff1
1c3469 92b0f4
f7f5c7 6296ab
0cc659 d28f1b
116190 716435
5a5b50 5e8982
80448a fa8408
9e5e4b 932549
19bdbc 2b9628
08ac18 ea944e
76d3d9 8c79e4
3c24f9 384161
a95211 5f8451
f1b17e eb732e
6aa9ad 9954db
8660d5 8130bc
be6bf8 2f905a
8d9fa0 81e973
75ebb2 4a69ea
f01bf4 bb6052
307ea6 758596
bdd329 c14cef
b936fc f7951f
3fa269 4b5cbc
5cbf36 73c323
775e79 085f2a
b15642 b377fd
7e52c2 e14631
4df58f 2f80a9
61d187 2a9698
462734 35ad8c
d9d042 eeb36d
b2f270 6a1f36
4fc519 97ce72
a2b7dc 40f835
832a1e 06c150
f2122d 73d113
cfa0a0 095ba2
0d090e 096d60
2bdf3f aaf924
b32ab9 08d151
729204 2665aa
2be26d dfbcb8
b720b3 87857d
00eb5b 1015a8
ed0554 a646b1
818104 5cff5b
154725 50a4e6
830817 f837bf
30a067 80e48e
873f68 fa5b4e
a846e7 47cb3d
8dd2d4 a649ef
2d573f 8cc490
729950 2472ea
b7c27d 840caa
ca170a 48b3f0
559727 ec74f9
57f443 9d1b62
c85c3f 8e9df6
9fc416 f85c85
ed9c64 747bfa
926f2f 5a21e3
164f2e 88582b
f6031b d40d58
45fbd2 030278
960bbe 3829ed
af7e53 1fd1b3
bf859d 9f0d57
9b9dbe e1fbd7
b84269 754c8e
b7d738 417ea4
dd9a07 006140
cf9202 b3098e
735c24 7ce46a
b4b542 cb5fcd
ce1f2c d3e7b9
478c25 512891
b519eb 544eb8
06ca2b 371146
257f7a 71238f
0f61ca ad6dd8
d2d795 e13b65
7196ec 1b4630
6b4d9f e79bd2
45fc9b 66f078
50497f 286b11
09eed3 725181
74d722 3a03e4
71f7d4 3428cc
adc042 81f3e8
6e75c4 dcf723
0e5aa9 af7ec9
fcea2e 231c27
315e72 926f0e
6d9b44 d83e33
7cfdb5 e3e9fa
539a1a a2cefd
6c4579 30d73b
76bc5c 8e02f6
91b448 b78ef4
370d26 4bffa5
85e509 462d54
4a6282 c821d2
9f3527 44ecc8
d20f6b c44b43
1a365c f7acac
e586ef d62b30
783779 b31dae
5eb709 51b86c
f35001 1a8485
44e9ba b92367
16b5d7 ce6a60
b7417b 4d390d
65d03f 946343
d4b7dd 85f30d
9a78b5 210723
c18e24 ad6af9
7e8d2f 9da1fa
9fab95 826ad2
fbb0b1 ed5a2e
faa137 c70edb
19fea7 81ddef
7891fc 8c5998
125dfb 24f9b5
f18187 3e771b
1bfd2a 9b381a
023780 0de0d5
2554b7 254248
3a8344 27a09d
ef90b4 991d3d
e5a72f cdb3f7
1581b1 ff241b
7d7705 ecc4a7
9d032f f8ace0
925c24 afce15
425658 fccd2c
80576b 5cd2a0
833dcc 46e890
70a490 707251
5eec59 00bbd5
b2f6f1 33d531
50a0b4 1f6f3d
05dc07 0195a9
a0779a 96cc3e
e16053 b55d95
199b27 808933
00b583 851c5a
ea459f 485d5a
c34a74 dece3c
cf4998 3afea2
d40006 977284
f61bb9 e84ad3
27df39 ff933f
0ef76b d8d2a0
b1775c d034a7
5756d5 ca6741
3d97ee 084939
5fa717 7d33e3
fa4b02 ef0812
d428da 42c4d9
06c712 0244c6
71e428 6721aa
1ff1a3 5e9a63
cda439 b39b94
557567 c8725f
b73650 54ba3d
e18ac6 a945c0
b8d0fc a3303e
4b803a c4a348
8411c7 a29462
afee55 f0fba9
c2aaad de1edd
3712d1 7bf766
f1b0d2 03720f
c3edc4 78f5cb
9fe316 e71018
d2a9a8 9e5e9b
7df30c ca364c
855b57 e53dce
7c850c cbe22a
3992b7 73091d
402ce2 53a234
d47c7d 8462c4
b86cb5 bfe70e
c5ab7e ff75ea
53f345 bc6cde
74e22c ab4899
f1b205 8a798f
bd02a0 c95a95
d5880d 0c3fb0
a337bf 946c0e
d5f32f c2c64c
ced9be 3b0856
06917d cc181c
4e204b 8653e9
07dc4e 507bca
bedddf 139586
69463f f4c905
a34aba 4ecefc
c3014b 4a1796
177060 eb2853
3de3fb b532c1
44f0be 5301b0
f1e1ee ead8a6
25db33 7fe803
73451c 3e621e
272962 8ba608
3dd6ab d84d4b
ff01e0 ef25e4
8c5fba 98a255
ccc3d6 4b3539
be4385 ecca23
d1161b c00303
ef35e7 80ea7d
4e0d8b 1252e9
08e6a6 d78d5f
6fd30f a90c46
dea506 3dfc73
b99d31 83b91d
966134 d916e2
e076dc d092c6
539cae bedfd1
8c039a 04a7c6
748e29 482637
187b48 a6388a
fecfa5 ecafc4
2157cd a098fd
8ef04f 074295
a4809f 7c5d01
039db4 c51bd7
1c9841 f4beef
31d0d2 064ced
917ecd d2af34
ac06af fb6646
fd562d c5e1d1
934d75 b3fd1a
4c00f9 ed708a
6cab06 69f8d7
d20d2c 43f803
6f2c1f 4ade17
83272d 1e14d0
119da3 72761d
a1c967 ca8b21
1e35db 92972c
4b08fa 6ca3e5
e9342d 7b27e8
7fcd3b 6fa7aa
9ca581 04e648
25a02f d5a3c5
a12c24 9d647e
708364 647c6a
a98727 f0b3f0
4ca3fc 2d753b
2d4278 8f3d05
2e2bb7 b70b03
6eff20 33d8ec
fbbed9 9481ae
474aab bb315e
7f5404 549f2a
abac27 83c11e
41999b 7efe80
2f7ef3 5bea1b
5372f7 a772f0
348e85 0809a6
ecc77b a604b0
c38722 383347
9441b5 334707
14d97a 24ab25
de8add d77440
453e53 b95f19
66b673 110a20
5aa4f8 a2d15d
5a3478 a2df75
11fc94 71f06d
e35bf1 095272
5b08e7 8283fe
119788 710edd
4e7696 104023
a2872c 4104b9
0d864e b28b9b
6b4f0b e5592b
352615 b138e5
73dd99 3cebc4
8dd4af f8aa69
9ba8c2 ef73da
d512a2 c8f938
c7a5b5 eaee5e
b0cff1 33d4b0
262298 8aff83
fbe318 e0ce58
a8d98c f383e4
dc5f6d 27d395
6d0a8d 683b55
0a8311 27f0b9
c67b9c 60fb1e
d26c6b 6d7752
3825f0 61595f
109315 fc3c4b
99107e edfea9
c542b1 ffd92a
e3230c 32323b
9ded02 824805
9302a2 32a78a
68d2e3 5ccb3f
a63983 cd1db5
93599d 4ab29c
0aac7f 60061d
79e365 30acc5
31b593 1f2c61
c9a204 7aa5ea
0c3de2 b0f12e
46070f 62384c
6f3918 0a7d7b
f2411c 18fc2b
02422e c8589a
7889cc 3344c5
11a3bb b83c81
9ca2b5 4748c8
f5e00d 193845
614e39 f04be6
dcabd7 7cf257
94b79c d20efc
8b2f7b 549ece
8dfb58 441469
139f52 3dfece
1ce5d1 9b86b4
54ca7d 841ddd
790478 685b60
9894c5 227ee9
d30ea2 ed313f
9daa60 f1e5c5
388e38 039bc1
6a03a2 f3aa18
738de1 2595bd
af434a e6821a
ee3691 5f4e71
b6dc65 21b2c4
8d0d94 a429d5
a26fd6 c2d4a2
04154f 3d8063
f1a420 ffdb85
516b4c 450136
0a57cd 62a335
160b33 cf4803
f3acd7 7c302b
78979c aa0ec3
db75cb 865a79
463b50 25d136
fb75b5 efed53
495aac 418388
337a3f 041c39
9ad471 23dc06
aa5a82 f35ef6
416dae 8b9b15
77fa3b de0c0d
22c775 463ea4
660f8c 210a43
3e3e19 8fcaf5
82bb7d e46889
dfe3d1 b90aef
f98471 2150db
577e5d 84219d
9d6430 2b2b89
c224f4 b76f6d
5e5730 61ceac
c52aff 3c6de4
1e0a7f a008a9
e66b47 18045e
9d23f2 92077f
fa5099 408d20
32ede4 f8ee35
1890aa 9b956f
e10e2c 6be2ec
8c1a52 a24dda
64c18f 96e05b
0bf8e4 ccb87c
f608e6 cff843
cb623b 7aadf8
15ffc5 899498
621d39 817f93
c3e7b3 1500ed
a004e0 efd6fe
3005fb 1e6256
fd36c8 c74527
8b97c0 415907
0dadd9 a965e6
91a070 8e5db2
2bd37e b14c44
95a589 391e54
8ba69f c39e62
478f65 fd2c11
afa505 46701a
acfb19 a16ab3
f88f17 c09926
bce401 0c8a28
4fe72b 4d7daf
477905 eafcf0
57b256 871a21
27ed6c 3e3c83
c2d694 79fd56
d5637a 56c036
c4144d 60f6cd
29807f 8ef3fa
3631fa de2120
edade5 bd1137
7b7762 32035b
0ea96c a90613
b003af 4ac7e4
f0692c 62e010
febe4f 4341b6
1f140b e657f2
1a5912 a3022c
595be8 93d04e
c7f4b9 fcd69e
84aa7c 057dce
ff9379 e31c51
0bcb19 03cf94
e42cb5 ff8959
dc8dd3 73de1c
8cc804 a608c0
5123af 92c7e4
4c1d0e 20b8da
5d5edc 3ea7fb
68d2c0 f7bb3f
1cd233 e7810a
8a09c9 e1286d
6a2e0c 83eb18
ba4360 47bd7c
90289a 8dbff4
c62625 8ac7b8
369054 deb845
870858 440f56
67541d c1ff05
0880b5 eb8d01
5d14b3 67ffe9
3fe05c 8ea3ed
1ca870 29c6fb
e49179 51730c
2fe423 7afc83
f3e508 26e003
194cf1 f3b21c
c11a8c 090eed
a0027e ef7f3e
65d1b3 c2ea58
57cb90 6ceb14
862a49 81b5ed
0ec3dc 68363f
92051f 144d69
b9440b e55554
8614f8 044f5d
155394 ba4f10
d41ce0 22108d
c02979 b0dbe1
175cca 7c7666
4cc39b 840f00
8b1daf 112514
9a90f1 221cf2
a12af6 c68456
1a3a8b 93b0d5
a5847b ba60f9
b06632 143f91
847b2e 80483e
fce292 0c2819
e3601c aba4a9
db1ac0 0dcdc1
74abb3 4b4511
2e93a6 ae31a6
52a8da a2c4fa
307a55 8205be
a76639 ff18ed
d03118 e29f6e
d943d4 4f5bc1
f7b5fa 362a6e
efcd75 458baa
24ee6b bb918f
6fe7a3 7860e9
ca5886 8f5971
ff49fe e02e9e
3d42ee b17601
484413 572b88
9ee2c7 281be0
1981c5 f2f100
41ef0f 1bea9c
00b2b6 54e31a
52d306 f77d64
75b8c3 48ae99
66d6c2 e1f2ff
348404 daad05
c371fc 6ad8b9
d24184 56a6ab
535b27 8161ea
157b44 72044f
8f7e23 1d92c0
925fcf ab8eac
e091c2 3b09af
8f9dde f51e3b
cc4eec d3ec87
1e4958 4409da
940768 59e296
123722 5033f5
0274c5 2190da
0b3f8c ebfa4e
73cd9c 1a6b2a
3da336 78be41
c973b7 b757e7
47817d ccc83d
563466 9f4f75
8269ff 2a7492
e510be eabd0c
72cc95 8a6944
140225 891de5
e5fd98 8a9778
009fed c724ef
deec8c 8aefd5
03f244 4e019a
c6cad4 737e24
936252 8f57e9
2d7e9a 69adee
6185a1 9a9e53
81fe1b 767758
950a4b 49e882
10800d 183e94
92854e b0b040
896de6 c3e5f5
6ed62d 7a180a
81066e 44da20
e1fe9b 48c46f
1f211a 2a2efb
2bc217 58912a
2ce3f3 ae32ee
359db1 325613
dc56c3 d7676c
744c46 6a4ad1
7db8b1 efbfe7
ef5bc1 04e26a
9dc31c 2a002e
891dae cb962d
9e5f5a f51ec9
bb60ee f3366d
2004f0 0556c4
837736 1e885b
ddea06 037b5c
4a89c8 c74493
0b3f54 72bb4e
053159 6078f4
3e9a8f 8ffb54
9e5ae3 5c19a0
81d2bb a4f803
b5786c 97f3a7
76cf04 da6324
2904c6 6b0b76
390cc1 01dcf5
201ec3 e52f0d
fb679f 1336c3
d27686 0ebe6b
5da228 d655f2
3c83d8 080bc1
77c6bb da6037
7b8195 b26690
f97253 6fbf0f
d7d759 0e8ea4
ddd3fd 7c62ef
4198a8 7fb940
89f89e 2da04b
7c8f85 eccfea
ced47e 3b0b56
493f7b c6638f
8c9b7e be4e29
e660db 7c009e
dfd61d d7730a
f623c1 00bb18
3baafc 1b3122
cbebc8 df8438
510203 fb65b6
f2656b 70d06b
e1b127 308ef4
a9fcce 80b08c
6b29ba 1d24d0
118956 d4db1d
72853f 3d967a
2ff69b 16fd6b
bf2ff6 548ebb
fd401f 131eaa
795ebb de0dd0
4dcc51 6ffae8
ab8aaa 997c11
5ef561 70006c
0aa7b9 fd715d
fab09d 9f01a0
ba6ec0 2957e2
115ce1 b86087
dad345 e00cfe
242668 d7bd2e
9b3663 546a3b
7a9dfe b025a6
63ee7a 9a2c83
e7e6d0 27cb0c
096280 1a5782
5518e8 85eead
0ec6c8 dae63f
b5ea78 2d75aa
a48c6c 018614
9e7ca7 bce412
662534 576e43
634f36 5fc32b
39448a d5dfd4
3ee4aa d97fc2
29a4a8 17b72a
958537 78201d
bc2f59 0c8168
55b6da 95161f
4c3da9 12bb28
449813 27b30c
e9590d 8e60bb
8ef767 4474ac
aebb79 bcd595
b0528f aae8f6
3e0b69 1758ad
c2994d a839d4
f41ab9 5176d2
39e771 8bb341
d00e12 2eb53f
57669e 0d108b
9947e6 9ee31c
1b7ead 1fb880
6bfde6 e7e5ab
763bdd ac2736
97c5ef 491401
a25c2a 4ed982
3aa9ac 63e4f9
6d23d4 df7746
b23eee b2dcb1
b2f5b5 0ae0b6
fd55b5 234091
53704f 06e87a
9773e7 0872f9
11d59a 036ced
f5ac83 d62705
5d20ee 51764a
3f3a47 68058e
e68fda 3e24b0
5c28f4 b9bea8
08856c 1bffc1
adb7fe 81f334
63de2e f0463f
79b0f6 b47c4f
4ae7eb 6c5320
50fc22 f0f8ba
0ae05c 02a4c2
5ae77e 477eb5
8e9c48 9982f2
e010a7 3887e3
c2ba89 3acb42
35fd88 db8503
d60360 e21d78
e83791 798f68
cc4282 33078e
3fa4c3 4a2f7c
9fea0e f07f58
97f40a 14ea3c
bbe583 912e6d
f1d1cc eae898
138f33 d6e807
b38a1e 8ecb7d
e6a2f8 3d7bf0
e4aca3 729251
652b37 4df1e5
699b21 1ef313
4e6069 86b49a
e44d3c 017791
d1b0d2 2f520f
482183 11196e
2a3367 b1d036
93249f 597957
b1a266 ad0baa
75e2f6 d879f7
bfd1b3 13efc6
f7a72e e973eb
bbe2e3 5ccb0b
cf14af 15a254
afc3fe 837adc
bbe373 e6302d
e99a79 0b1e33
4a2708 6d83d8
9d33ba 98a7ee
98b037 5774da
d452b7 c5f1f6
69f338 2b3098
fb2542 c94fd0
8af5c6 2f0075
da8fb3 9ff25d
9bf0ef 9eccda
06b7e7 50e82c
76d13b 7a6c24
3ed48f abf6be
9bec27 216129
38e8d2 614361
c44d10 368791
239dbb 5c9611
a889f5 478eaa
793862 b203ae
a70955 8a0afe
583df3 e6e11f
fe70b7 4c2c8d
5ceefc 3c4a34
31e484 a60694
fb145d 9f06e6
f7f0f2 cd3d52
4bea86 424f43
9243d5 0939e3
cc3344 7bae61
891201 9489ad
f7a73b 3533eb
ad95d2 05ffc0
322ba0 832aed
66c01d c37ea5
386538 3f9e4e
7c7e6f 852a04
899cd3 6fbc79
524600 2a181e
85cd8a fbcb21
febd8f 0f49f6
6f3ce8 4a1d7b
bc5b39 2398d5
95d625 30a82d
ac91d6 92d9af
3213a9 764cb9
39218b d55256
632e81 04b990
b0778c 310c04
d5ea95 ec3b6a
040e5b 7d9f0a
5a043a 5f6a2d
ec4974 a4aad1
b7ee12 42bb0c
20235b e4cc59
b015b6 dd609e
8a56fa c52635
25dccd 03ad58
c80d02 0b51c4
7469e8 172d91
ed2411 5f4f04
f4f6f7 26b2db
1f44e6 93815a
34a0f7 b75648
4e66dc 96a523
9d8d6f e4ac93
ddacb6 256732
0c9180 abdfd8
e1cbe8 495728
5284e7 f163ba
15da62 ea0883
21d527 448cf8
64e93f 427cee
60d2e4 e4baff
baf4b5 463042
f15bd3 bbd048
7a6c39 085452
ce77cd 8c9fa2
272c9b 66f948
aef9a4 7562ac
09aace fcb5c1
7f472c 4234cd
c8a346 d35091
eeb0af 911a31
e05579 b3306c
5eec42 eb5615
8af7f4 6d28f5
aa8ac5 bc0df0
74de7e 382b84
e6f210 73cdf6
7d858f 43ee7a
7fd860 e3b164
73c5cc eb4437
d95403 122f0e
6e100e 328db3
a64f28 672aa2
87a630 29cfbc
939159 8cb33b
a72bce e8e94e
67376f c2c350
c166d7 58fb35
ed2e25 f11524
8f0a3d 7410c6
9310d7 ad3672
b6d2ce e0b9e4
81e141 068826
3ee66b d97d35
98ae66 86ef17
6f7049 0b6873
443f43 d52f59
45bd96 679619
7d9cf2 87ac70
a9428b e6592a
3af578 1b3075
63bb59 28b58f
05f990 34e4af
0747da 611923
2bef7a 7920f8
a84238 2845d1
fa2c79 ef3ac3
95e4b7 da4a54
84ca2e 8173b9
9ce76f e4a36e
021c87 959733
d4c961 54677a
8b8de8 115587
85246c a38396
b2ff6e 32d3b6
ad1885 806fef
8e2f93 1de729
74e968 15e9d9
6fc5ce 09671c
14d98e 50edbf
203536 5c8e59
5203d6 90d2cc
6154f1 f25388
e2b552 a94a6c
70a066 7f4291
da26fc 944b0b
70da13 b9ef64
59e25c 043a14
7cb0b4 6d2d0d
4e346e 2040ec
91224d 8d3f0a
e5d2b8 184ab8
96c41a d1157e
f0d76a 24d3ff
9494b8 ab196d
e61ef9 884bb0
557adc 960ddf
b01534 7b609e
2a4a7c 6b389e
b4ba2a 6d7ecd
a81b36 9bc8de
e42c37 bab999
876eac a3fdcb
45996f 65a63a
b9ffb3 76326d
def7be 8b76d5
3b17ef cd21c1
ee0e79 f051b8
810bbb 1cf2c9
1f5ddf f8445c
c84462 0aa0fd
ed0d69 fa4a36
0e5185 b27fe0
1921b2 e49046
14d053 bb2da5
4357e7 e881dc
880361 54c0be
5eab49 fdbe33
a930bb 9aa7e7
d4d8b3 9d0424
029e32 9e69dc
7fa3b0 2fbb8d
9b9068 9fde97
191056 7794e9
af6cbe bdf069
1cc6bf 2a9640
d45035 e102b6
e29ae7 b1d89c
6c7f19 d16a86
2dc457 4890ee
d028ed 4dc4cf
22616d 1fb1cd
462976 71daf8
e958e1 dc1297
b87dd1 a7e596
1cb76e 4574e3
5cd6a6 d78e46
5f9633 d7f917
02b6fd 1192ec
6241a7 47ca6b
9fb249 80a18f
1650f7 ba4209
562eef c11c8b
aec021 a46e8a
660546 0f7698
03a643 c0aba3
f17a55 e8344f
6c0246 6b7f0a
3d6c70 69cac2
f59c20 ea5e13
878309 bdbd47
084ed1 738b87
db31e1 6e9587
224f39 479a8d
